cluster,gene
1,Shmt1
1,Zmym1
1,Meaf6
1,Usp37
1,Msh6
1,Rbbp4
1,Bri3bp
1,Rrp8
1,Mb21d1
1,Wdhd1
1,Mcm5
1,Smarca5
1,Slc1a5
1,Nap1l4
1,Nolc1
1,D10Wsu102e
1,Ckap4
1,Timeless
1,Zfp367
1,Zmynd19
1,Cdc25a
1,Atp2b1
1,Smarcc1
1,Ccnd2
1,Lbh
1,Maff
1,Casp3
1,Tnfaip8
1,Amotl1
1,Rfc1
1,Cdc42ep3
1,Gpr180
1,Oaf
1,Gins3
1,Cdc7
1,Cactin
1,Eps8
1,Slk
1,Smc3
1,Alad
1,Nasp
1,Smc5
1,Fen1
1,Ctnnal1
1,Enkd1
1,Tjp2
1,Nup43
1,Dek
1,Slbp
1,Ung
1,Paics
1,Gins2
1,Umps
1,Pdlim1
1,Gart
1,Whsc1
1,Baz1b
1,Efnb2
1,Pola2
1,Ivns1abp
1,Dnaaf2
1,Trmt2a
1,E2f1
1,Chaf1b
1,Syngr2
1,Mcmbp
1,Cdt1
1,Pold3
1,Ubr7
1,Grsf1
1,Dck
1,Atad5
1,Casp8ap2
1,Orc2
1,Siva1
1,Cdca7
1,Rif1
1,Ptrh2
1,Arl6ip6
1,Rnf168
1,Tfrc
1,Fancl
2,Clspn
2,Lig1
2,Gmnn
2,Dtl
2,Uhrf1
2,Ccne1
2,Fam111a
2,Tcf19
2,Dnmt1
2,Msh2
2,Orc6
2,Mcm6
2,Pcna-ps2
2,Mcm2
2,Hells
2,Haus6
2,Ccne2
2,Ppat
2,Dscc1
2,Cdc6
2,Rpa2
2,Atad2
2,Mcm3
2,Pcna
2,Mcm7
2,Chaf1a
2,Hat1
2,Rrm2
2,Slfn9
2,Rfc3
2,Mcm4
3,Ldlr
3,Amotl2
3,Topbp1
3,Ncapd3
3,Haus8
3,Rbl1
3,Rrm1
3,Elovl5
3,Dhfr
3,Usp1
3,Ncapg2
3,Asf1b
3,Dcaf15
3,Tssc4
3,Hjurp
3,Hist1h2ak
3,Nup155
3,Skp2
3,Tdp2
3,Cbx5
3,Hspa14
3,Mcm10
3,Prim1
3,Exo1
3,Apbb1ip
3,Eri1
3,Smchd1
3,Dnajc9
3,Akap11
3,Mlf1ip
3,Tyms
3,Nfx1
3,E2f7
3,Ubap2
3,Chtf18
3,Stub1
3,Esco2
3,Ezh2
3,Pold1
3,Apbb2
3,E2f8
3,Cyp51
3,Rad54l
3,Nxt1
3,Pola1
3,Rpa3
3,Fbxo5
3,Il1rl1
3,Fhl2
3,Mis18a
3,Tex30
3,Idh2
